Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Sabugo;Com Exploração;Estação;Linha do Oeste;Almargem do Bispo, Pêro Pinheiro e Montelavar;SINTRA;LISBOA
Aldeia;Com Exploração;Apeadeiro;Linha da Beira Alta;Castelo Bom;ALMEIDA;GUARDA
Alcaria;Com Exploração;Apeadeiro;Linha da Beira Baixa;Alcaria;FUNDÃO;CASTELO BRANCO
Bouro;Com Exploração;Apeadeiro;Linha do Oeste;Tornada e Salir do Porto;CALDAS DA RAINHA;LEIRIA
Cerdeira;Com Exploração;Estação;Linha da Beira Alta;Cerdeira;SABUGAL;GUARDA
Alpedrinha;Com Exploração;Apeadeiro;Linha da Beira Baixa;Alpedrinha;FUNDÃO;CASTELO BRANCO
Dagorda - Peniche;Com Exploração;Apeadeiro;Linha do Oeste;Santa Maria, São Pedro e Sobral da Lagoa;ÓBIDOS;LEIRIA
Bifurcação do Luso;Com Exploração;Estação;Linha da Beira Alta;Luso;MEALHADA;AVEIRO
Cais do Sodré;Com Exploração;Estação;Linha de Cascais;Misericórdia;LISBOA;LISBOA
Bemposta;Com Exploração;Apeadeiro;Linha do Leste;São Facundo e Vale de Mós;ABRANTES;SANTARÉM
Monte Estoril;Com Exploração;Apeadeiro;Linha de Cascais;Cascais e Estoril;CASCAIS;LISBOA
Fontela-A;Com Exploração;Apeadeiro;Linha do Oeste;Vila Verde;FIGUEIRA DA FOZ;COIMBRA
Retaxo;Com Exploração;Apeadeiro;Linha da Beira Baixa;Cebolais de Cima e Retaxo;CASTELO BRANCO;CASTELO BRANCO
Outeiro;Com Exploração;Estação;Linha do Oeste;Campelos e Outeiro da Cabeça;TORRES VEDRAS;LISBOA
Torre das Vargens;Com Exploração;Estação;Linha do Leste;Ponte de Sor, Tramaga e Vale de Açor;PONTE DE SOR;PORTALEGRE
Fazenda;Com Exploração;Apeadeiro;Linha do Leste;Ponte de Sor, Tramaga e Vale de Açor;PONTE DE SOR;PORTALEGRE
Carvalhos de Figueiredo;Com Exploração;Apeadeiro;Ramal de Tomar;Madalena e Beselga;TOMAR;SANTARÉM
Guia;Com Exploração;Apeadeiro;Linha do Oeste;Guia, Ilha e Mata Mourisca;POMBAL;LEIRIA
Contenças;Com Exploração;Estação;Linha da Beira Alta;Santiago de Cassurrães e Póvoa de Cervães;MANGUALDE;VISEU
Jerumelo;Com Exploração;Apeadeiro;Linha do Oeste;Sapataria;SOBRAL DE MONTE AGRAÇO;LISBOA
Torre da Gadanha;Com Exploração;Estação;Linha do Alentejo;São Cristóvão;MONTEMOR-O-NOVO;ÉVORA
Bombel;Com Exploração;Estação;Linha do Alentejo;Vendas Novas;VENDAS NOVAS;ÉVORA
Rio Meão;Com Exploração;Apeadeiro;Linha do Vouga;Rio Meão;SANTA MARIA DA FEIRA;AVEIRO
Roma - Areeiro;Com Exploração;Estação;Linha de Cintura;Alvalade;LISBOA;LISBOA
Entrecampos - Poente;Com Exploração;Estação;Linha de Cintura;Avenidas Novas;LISBOA;LISBOA
Sete Rios;Com Exploração;Estação;Linha de Cintura;São Domingos de Benfica;LISBOA;LISBOA
Boliqueime;Com Exploração;Estação;Linha do Algarve;Boliqueime;LOULÉ;FARO
Santo Tirso;Com Exploração;Estação;Linha de Guimarães;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;SANTO TIRSO;PORTO
Urgueiras;Com Exploração;Apeadeiro;Linha do Vouga;Albergaria-a-Velha e Valmaior;ALBERGARIA-A-VELHA;AVEIRO
Chelas;Com Exploração;Apeadeiro;Linha de Cintura;Beato;LISBOA;LISBOA
Alcântara-Mar;Com Exploração;Estação;Linha de Cascais;Estrela;LISBOA;LISBOA
Penalva;Com Exploração;Estação;Linha do Sul;Quinta do Anjo;PALMELA;SETÚBAL
Alcântara-Terra;Com Exploração;Estação;Linha de Cintura;Estrela;LISBOA;LISBOA
Ferragudo;Com Exploração;Apeadeiro;Linha do Algarve;Estômbar e Parchal;LAGOA;FARO
Cuba;Com Exploração;Estação;Linha do Alentejo;Cuba;CUBA;BEJA
Mata;Com Exploração;Apeadeiro;Linha do Leste;Chancelaria;ALTER DO CHÃO;PORTALEGRE
Alvito;Com Exploração;Apeadeiro;Linha do Alentejo;Alvito;ALVITO;BEJA
Vila Nova da Baronia;Com Exploração;Estação;Linha do Alentejo;Vila Nova da Baronia;ALVITO;BEJA
São João das Craveiras;Com Exploração;Apeadeiro;Linha do Alentejo;Pegões;MONTIJO;SETÚBAL
Moita;Com Exploração;Estação;Linha do Alentejo;Moita;MOITA;SETÚBAL
Agualva-Cacém;Com Exploração;Estação;Linha de Sintra;Agualva e Mira-Sintra;SINTRA;LISBOA
Beja;Com Exploração;Estação;Linha do Alentejo;Beja (Salvador e Santa Maria da Feira);BEJA;BEJA
Panóias;Com Exploração;Apeadeiro;Linha do Alentejo;Panoias e Conceição;OURIQUE;BEJA
Sintra;Com Exploração;Estação;Linha de Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;SINTRA;LISBOA
Alcáçovas;Com Exploração;Apeadeiro;Linha do Alentejo;N. S. da Tourega e N. S. de Guadalupe;ÉVORA;ÉVORA
Coimbrões;Com Exploração;Apeadeiro;Linha do Norte;Canidelo;VILA NOVA DE GAIA;PORTO
Pataias;Com Exploração;Estação;Linha do Oeste;Pataias e Martingança;ALCOBAÇA;LEIRIA
Muxagata;Com Exploração;Estação;Linha da Beira Alta;Figueiró da Granja;FORNOS DE ALGODRES;GUARDA
Almourol;Com Exploração;Estação;Linha da Beira Baixa;Praia do Ribatejo;VILA NOVA DA BARQUINHA;SANTARÉM
Verride;Com Exploração;Estação;Ramal de Alfarelos;Abrunheira, Verride e Vila Nova da Barca;MONTEMOR-O-VELHO;COIMBRA
Alhos Vedros;Com Exploração;Apeadeiro;Linha do Alentejo;Alhos Vedros;MOITA;SETÚBAL
Baixa da Banheira;Com Exploração;Apeadeiro;Linha do Alentejo;Baixa da Banheira e Vale da Amoreira;MOITA;SETÚBAL
Sernada do Vouga;Com Exploração;Estação;Linha do Vouga;Macinhata do Vouga;ÁGUEDA;AVEIRO
Oliveira do Bairro ;Com Exploração;Estação;Linha do Norte;Oliveira do Bairro;OLIVEIRA DO BAIRRO;AVEIRO
Rio de Mouro;Com Exploração;Apeadeiro;Linha de Sintra;Rio de Mouro;SINTRA;LISBOA
Barreiro-A;Com Exploração;Apeadeiro;Linha do Alentejo;Barreiro e Lavradio;BARREIRO;SETÚBAL
Barreiro;Com Exploração;Estação;Linha do Alentejo;Barreiro e Lavradio;BARREIRO;SETÚBAL
Massamá-Barcarena;Com Exploração;Apeadeiro;Linha de Sintra;Barcarena;OEIRAS;LISBOA
Monte Abraão;Com Exploração;Estação;Linha de Sintra;Queluz e Belas;SINTRA;LISBOA
Lavre;Com Exploração;Estação;Linha de Vendas Novas;Santana do Mato;CORUCHE;SANTARÉM
São Torcato;Com Exploração;Estação;Linha de Vendas Novas;Coruche, Fajarda e Erra;CORUCHE;SANTARÉM
Salgueirinha;Com Exploração;Estação;Linha de Vendas Novas;Coruche, Fajarda e Erra;CORUCHE;SANTARÉM
Quintans;Com Exploração;Apeadeiro;Linha do Norte;Oliveirinha;AVEIRO;AVEIRO
Lousal;Com Exploração;Estação;Linha do Sul;Azinheira dos Barros e São Mamede do Sádão;GRÂNDOLA;SETÚBAL
Porto São Bento;Com Exploração;Estação;Linha do Minho;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;PORTO
Algueirão-Mem Martins;Com Exploração;Apeadeiro;Linha de Sintra;Algueirão-Mem Martins;SINTRA;LISBOA
Lisboa Santa Apolónia;Com Exploração;Estação;Linha do Norte;São Vicente;LISBOA;LISBOA
Morgado;Com Exploração;Apeadeiro;Linha de Vendas Novas;Valada;CARTAXO;SANTARÉM
Chança;Com Exploração;Apeadeiro;Linha do Leste;Chancelaria;ALTER DO CHÃO;PORTALEGRE
Bifurcação de Lares;Com Exploração;Estação;Linha do Oeste;Abrunheira, Verride e Vila Nova da Barca;MONTEMOR-O-VELHO;COIMBRA
Montemor;Com Exploração;Apeadeiro;Ramal de Alfarelos;Alfarelos;SOURE;COIMBRA
Cruz Quebrada;Com Exploração;Apeadeiro;Linha de Cascais;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;OEIRAS;LISBOA
Santa Eulália-A;Com Exploração;Apeadeiro;Linha do Leste;Santa Eulália;ELVAS;PORTALEGRE
Belém;Com Exploração;Apeadeiro;Linha de Cascais;Belém;LISBOA;LISBOA
Ponte de Sôr;Com Exploração;Estação;Linha do Leste;Ponte de Sor, Tramaga e Vale de Açor;PONTE DE SOR;PORTALEGRE
Coina;Com Exploração;Estação;Linha do Sul;Seixal, Arrentela e Aldeia de Paio Pires;SEIXAL;SETÚBAL
Arrifana;Com Exploração;Apeadeiro;Linha do Vouga;Arrifana;SANTA MARIA DA FEIRA;AVEIRO
Pocinho;Com Exploração;Estação;Linha do Douro;Vila Nova de Foz Côa;VILA NOVA DE FOZ CÔA;GUARDA
Fuseta;Com Exploração;Estação;Linha do Algarve;Moncarapacho e Fuseta;OLHÃO;FARO
Ourique;Com Exploração;Estação;Linha do Alentejo;Castro Verde e Casével;CASTRO VERDE;BEJA
Monte das Flores;Com Exploração;Estação;Linha de Évora;Malagueira e Horta das Figueiras;ÉVORA;ÉVORA
Alcantarilha;Com Exploração;Estação;Linha do Algarve;Alcantarilha e Pêra;SILVES;FARO
Poço Barreto;Com Exploração;Apeadeiro;Linha do Algarve;Silves;SILVES;FARO
Paredes;Com Exploração;Apeadeiro;Linha do Douro;Paredes;PAREDES;PORTO
Benfica;Com Exploração;Estação;Linha de Sintra;Benfica;LISBOA;LISBOA
São Bartolomeu da Serra;Com Exploração;Estação;Linha de Sines;Santiago do Cacém, S. Cruz e S. Bartolomeu da Serra;SANTIAGO DO CACÉM;SETÚBAL
Riachos - Torres Novas - Golegã;Com Exploração;Estação;Linha do Norte;Riachos;TORRES NOVAS;SANTARÉM
Somincor;Com Exploração;Mercadorias;Linha do Sul;Santa Maria do Castelo e Santiago e Santa Susana;ALCÁCER DO SAL;SETÚBAL
Silves;Com Exploração;Estação;Linha do Algarve;Silves;SILVES;FARO
Bom João;Com Exploração;Apeadeiro;Linha do Algarve;Faro (Sé e São Pedro);FARO;FARO
Santana Cartaxo;Com Exploração;Apeadeiro;Linha do Norte;Vila Chã de Ourique;CARTAXO;SANTARÉM
Pereiras;Com Exploração;Apeadeiro;Linha do Sul;Santa Clara-a-Velha;ODEMIRA;BEJA
Monte Novo-Palma;Com Exploração;Estação;Linha do Sul;Santa Maria do Castelo e Santiago e Santa Susana;ALCÁCER DO SAL;SETÚBAL
Aguda;Com Exploração;Apeadeiro;Linha do Norte;Arcozelo;VILA NOVA DE GAIA;PORTO
Azinheira dos Barros – A;Com Exploração;Apeadeiro;Linha do Sul;Azinheira dos Barros e São Mamede do Sádão;GRÂNDOLA;SETÚBAL
Formoselha / Santo Varão;Com Exploração;Apeadeiro;Linha do Norte;Santo Varão;MONTEMOR-O-VELHO;COIMBRA
Almancil;Com Exploração;Apeadeiro;Linha do Algarve;Almancil;LOULÉ;FARO
Agolada;Com Exploração;Estação;Linha de Vendas Novas;Coruche, Fajarda e Erra;CORUCHE;SANTARÉM
Fatela-Penamacor;Com Exploração;Apeadeiro;Linha da Beira Baixa;Enxames;FUNDÃO;CASTELO BRANCO
Alcains;Com Exploração;Estação;Linha da Beira Baixa;Alcains;CASTELO BRANCO;CASTELO BRANCO
Silvalde;Com Exploração;Apeadeiro;Linha do Norte;Silvalde;ESPINHO;AVEIRO
Salir do Porto;Com Exploração;Apeadeiro;Linha do Oeste;Tornada e Salir do Porto;CALDAS DA RAINHA;LEIRIA
Parque das Cidades;Com Exploração;Estação;Linha do Algarve;Almancil;LOULÉ;FARO
Pero Negro;Com Exploração;Estação;Linha do Oeste;Sapataria;SOBRAL DE MONTE AGRAÇO;LISBOA
Castelejo;Com Exploração;Apeadeiro;Linha da Beira Alta;São João de Areias;SANTA COMBA DÃO;VISEU
Águeda;Com Exploração;Estação;Linha do Vouga;Águeda e Borralha;ÁGUEDA;AVEIRO
Mortágua;Com Exploração;Estação;Linha da Beira Alta;Mortágua, Vale de Remígio, Cortegaça e Almaça;MORTÁGUA;VISEU
Figueira da Foz;Com Exploração;Estação;Linha do Oeste;Buarcos e São Julião;FIGUEIRA DA FOZ;COIMBRA
Barcelos;Com Exploração;Estação;Linha do Minho;Arcozelo;BARCELOS;BRAGA
Monte dos Lobos;Com Exploração;Apeadeiro;Linha da Beira Alta;Mortágua, Vale de Remígio, Cortegaça e Almaça;MORTÁGUA;VISEU
Estômbar-Lagoa;Com Exploração;Estação;Linha do Algarve;Estômbar e Parchal;LAGOA;FARO
Trofa ;Com Exploração;Apeadeiro;Linha do Minho;Bougado (São Martinho e Santiago);TROFA;PORTO
Desvio de Picotas;Com Exploração;Estação;Ramal Neves Corvo;Castro Verde e Casével;CASTRO VERDE;BEJA
Minas de Neves Corvo;Com Exploração;Estação;Ramal Neves Corvo;Santa Bárbara de Padrões;CASTRO VERDE;BEJA
Palmilheira;Com Exploração;Apeadeiro;Linha do Minho;Águas Santas;MAIA;PORTO
Cavaco;Com Exploração;Apeadeiro;Linha do Vouga;Santa Maria da Feira, Travanca, Sanfins e Espargo;SANTA MARIA DA FEIRA;AVEIRO
Famalicão da Nazaré;Com Exploração;Apeadeiro;Linha do Oeste;Famalicão;NAZARÉ;LEIRIA
Aguieira;Com Exploração;Apeadeiro;Linha do Vouga;Valongo do Vouga;ÁGUEDA;AVEIRO
Valongo;Com Exploração;Estação;Linha do Douro;Valongo;VALONGO;PORTO
Carvalha;Com Exploração;Apeadeiro;Linha do Minho;Campos e Vila Meã;VILA NOVA DE CERVEIRA;VIANA DO CASTELO
Pego;Com Exploração;Apeadeiro;Linha da Beira Alta;Vacariça;MEALHADA;AVEIRO
Praia do Ribatejo;Com Exploração;Estação;Linha da Beira Baixa;Praia do Ribatejo;VILA NOVA DA BARQUINHA;SANTARÉM
Marujal;Com Exploração;Apeadeiro;Ramal de Alfarelos;Abrunheira, Verride e Vila Nova da Barca;MONTEMOR-O-VELHO;COIMBRA
Entrecampos;Com Exploração;Estação;Linha de Cintura;Alvalade;LISBOA;LISBOA
Viana;Com Exploração;Apeadeiro;Linha do Alentejo;Viana do Alentejo;VIANA DO ALENTEJO;ÉVORA
Pegões;Com Exploração;Estação;Linha do Alentejo;Pegões;MONTIJO;SETÚBAL
Mercês;Com Exploração;Estação;Linha de Sintra;Algueirão-Mem Martins;SINTRA;LISBOA
Garvão ;Com Exploração;Apeadeiro;Linha do Sul;Garvão e Santa Luzia;OURIQUE;BEJA
Reboleira;Com Exploração;Apeadeiro;Linha de Sintra;Águas Livres;AMADORA;LISBOA
Marinhais;Com Exploração;Estação;Linha de Vendas Novas;Marinhais;SALVATERRA DE MAGOS;SANTARÉM
Muge;Com Exploração;Estação;Linha de Vendas Novas;Muge;SALVATERRA DE MAGOS;SANTARÉM
Canal-Caveira;Com Exploração;Estação;Linha do Sul;Grândola e Santa Margarida da Serra;GRÂNDOLA;SETÚBAL
Vendas Novas;Com Exploração;Estação;Linha do Alentejo;Vendas Novas;VENDAS NOVAS;ÉVORA
São Pedro do Estoril;Com Exploração;Estação;Linha de Cascais;Cascais e Estoril;CASCAIS;LISBOA
Cascais;Com Exploração;Estação;Linha de Cascais;Cascais e Estoril;CASCAIS;LISBOA
Estoril;Com Exploração;Estação;Linha de Cascais;Cascais e Estoril;CASCAIS;LISBOA
São João do Estoril ;Com Exploração;Apeadeiro;Linha de Cascais;Cascais e Estoril;CASCAIS;LISBOA
Paço de Arcos;Com Exploração;Apeadeiro;Linha de Cascais;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;OEIRAS;LISBOA
Caxias;Com Exploração;Estação;Linha de Cascais;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;OEIRAS;LISBOA
Crato;Com Exploração;Apeadeiro;Linha do Leste;Crato e Mártires, Flor da Rosa e Vale do Peso;CRATO;PORTALEGRE
Fogueteiro;Com Exploração;Estação;Linha do Sul;Seixal, Arrentela e Aldeia de Paio Pires;SEIXAL;SETÚBAL
Foros de Amora;Com Exploração;Apeadeiro;Linha do Sul;Amora;SEIXAL;SETÚBAL
Pragal;Com Exploração;Estação;Linha do Sul;Almada, Cova da Piedade, Pragal e Cacilhas;ALMADA;SETÚBAL
Alvito-A;Com Exploração;Estação;Linha do Sul;Alcântara;LISBOA;LISBOA
Fuseta-A;Com Exploração;Apeadeiro;Linha do Algarve;Moncarapacho e Fuseta;OLHÃO;FARO
Cacela;Com Exploração;Estação;Linha do Algarve;Vila Nova de Cacela;VILA REAL DE SANTO ANTÓNIO;FARO
Durrães;Com Exploração;Apeadeiro;Linha do Minho;Durrães e Tregosa;BARCELOS;BRAGA
Póvoa;Com Exploração;Apeadeiro;Linha do Norte;Póvoa de Santa Iria e Forte da Casa;VILA FRANCA DE XIRA;LISBOA
Portimão;Com Exploração;Estação;Linha do Algarve;Portimão;PORTIMÃO;FARO
Caíde;Com Exploração;Estação;Linha do Douro;Caíde de Rei;LOUSADA;PORTO
Albergaria dos Doze;Com Exploração;Estação;Linha do Norte;Santiago e S. Simão de Litém e Albergaria dos Doze;POMBAL;LEIRIA
Vizela;Com Exploração;Estação;Linha de Guimarães;Caldas de Vizela (São Miguel e São João);VIZELA;BRAGA
Mexilhoeira Grande;Com Exploração;Estação;Linha do Algarve;Mexilhoeira Grande;PORTIMÃO;FARO
Messines-Alte;Com Exploração;Estação;Linha do Sul;São Bartolomeu de Messines;SILVES;FARO
São Marcos;Com Exploração;Estação;Linha do Sul;São Marcos da Serra;SILVES;FARO
Santa Clara-Sabóia;Com Exploração;Estação;Linha do Sul;Santa Clara-a-Velha;ODEMIRA;BEJA
Luzianes;Com Exploração;Estação;Linha do Sul;Luzianes-Gare;ODEMIRA;BEJA
Lagos;Com Exploração;Estação;Linha do Algarve;São Gonçalo de Lagos;LAGOS;FARO
Castro Marim;Com Exploração;Apeadeiro;Linha do Algarve;Castro Marim;CASTRO MARIM;FARO
Alvarães;Com Exploração;Apeadeiro;Linha do Minho;Alvarães;VIANA DO CASTELO;VIANA DO CASTELO
Grândola Norte;Com Exploração;Estação;Linha do Sul;Grândola e Santa Margarida da Serra;GRÂNDOLA;SETÚBAL
Loulé;Com Exploração;Estação;Linha do Algarve;Loulé (São Sebastião);LOULÉ;FARO
Conceição;Com Exploração;Apeadeiro;Linha do Algarve;Conceição e Cabanas de Tavira;TAVIRA;FARO
Moledo do Minho;Com Exploração;Apeadeiro;Linha do Minho;Moledo e Cristelo;CAMINHA;VIANA DO CASTELO
Válega;Com Exploração;Estação;Linha do Norte;Válega;OVAR;AVEIRO
Bifurcação de Torre Vã;Com Exploração;Estação;Linha do Sul;Panoias e Conceição;OURIQUE;BEJA
Alvalade;Com Exploração;Apeadeiro;Linha do Sul;Alvalade;SANTIAGO DO CACÉM;SETÚBAL
Carregado;Com Exploração;Apeadeiro;Linha do Norte;Castanheira do Ribatejo e Cachoeiras;VILA FRANCA DE XIRA;LISBOA
Figueiredo;Com Exploração;Apeadeiro;Linha do Vouga;Pinheiro da Bemposta, Travanca e Palmaz;OLIVEIRA DE AZEMÉIS;AVEIRO
Vale de Guizo;Com Exploração;Estação;Linha do Sul;Santa Maria do Castelo e Santiago e Santa Susana;ALCÁCER DO SAL;SETÚBAL
Ovar;Com Exploração;Estação;Linha do Norte;Ovar, S. João, Arada e S. Vicente de Pereira Jusã;OVAR;AVEIRO
Miramar;Com Exploração;Apeadeiro;Linha do Norte;Arcozelo;VILA NOVA DE GAIA;PORTO
Pinheiro;Com Exploração;Estação;Linha do Sul;Santa Maria do Castelo e Santiago e Santa Susana;ALCÁCER DO SAL;SETÚBAL
Monte Gordo;Com Exploração;Apeadeiro;Linha do Algarve;Monte Gordo;VILA REAL DE SANTO ANTÓNIO;FARO
Soudos - Vila Nova;Com Exploração;Apeadeiro;Ramal de Tomar;Paialvo;TOMAR;SANTARÉM
Albufeira - Ferreiras;Com Exploração;Estação;Linha do Algarve;Ferreiras;ALBUFEIRA;FARO
Vale da Rosa;Com Exploração;Estação;Linha do Sul;Sado;SETÚBAL;SETÚBAL
Mourisca-Sado;Com Exploração;Apeadeiro;Linha do Sul;Gâmbia-Pontes-Alto da Guerra;SETÚBAL;SETÚBAL
Eirol;Com Exploração;Estação;Linha do Vouga;Eixo e Eirol;AVEIRO;AVEIRO
Cachofarra;Com Exploração;Apeadeiro;Linha do Sul;Setúbal (São Sebastião);SETÚBAL;SETÚBAL
Praça do Quebedo;Com Exploração;Apeadeiro;Linha do Sul;S. Julião, N. S. da Anunciada e S. Maria da Graça;SETÚBAL;SETÚBAL
Vila Real de Stº António;Com Exploração;Estação;Linha do Algarve;Vila Real de Santo António;VILA REAL DE SANTO ANTÓNIO;FARO
Palmela - A;Com Exploração;Apeadeiro;Linha do Sul;Palmela;PALMELA;SETÚBAL
Palmela;Com Exploração;Estação;Linha do Sul;Palmela;PALMELA;SETÚBAL
Praias-Sado-A;Com Exploração;Apeadeiro;Linha do Sul;Setúbal (São Sebastião);SETÚBAL;SETÚBAL
Porto Rei;Com Exploração;Apeadeiro;Linha do Douro;Barqueiros;MESÃO FRIO;VILA REAL
Venda do Alcaide;Com Exploração;Apeadeiro;Linha do Sul;Palmela;PALMELA;SETÚBAL
Braço de Prata;Com Exploração;Estação;Linha do Norte;Marvila;LISBOA;LISBOA
Águas de Moura;Com Exploração;Estação;Linha do Sul;Gâmbia-Pontes-Alto da Guerra;SETÚBAL;SETÚBAL
Corroios;Com Exploração;Estação;Linha do Sul;Corroios;SEIXAL;SETÚBAL
Âncora Praia;Com Exploração;Apeadeiro;Linha do Minho;Vila Praia de Âncora;CAMINHA;VIANA DO CASTELO
Santa Cruz/Damaia;Com Exploração;Apeadeiro;Linha de Sintra;Águas Livres;AMADORA;LISBOA
Lisboa Rossio;Com Exploração;Estação;Linha de Sintra;Santa Maria Maior;LISBOA;LISBOA
Santa Cita;Com Exploração;Estação;Ramal de Tomar;Madalena e Beselga;TOMAR;SANTARÉM
Louriçal;Com Exploração;Estação;Linha do Oeste;Carriço;POMBAL;LEIRIA
Ameal-Sul;Com Exploração;Estação;Linha do Norte;Pereira;MONTEMOR-O-VELHO;COIMBRA
Freineda;Com Exploração;Apeadeiro;Linha da Beira Alta;Freineda;ALMEIDA;GUARDA
Baraçal;Com Exploração;Apeadeiro;Linha da Beira Alta;Baraçal;CELORICO DA BEIRA;GUARDA
Celorico da Beira;Com Exploração;Estação;Linha da Beira Alta;Forno Telheiro;CELORICO DA BEIRA;GUARDA
Papízios;Com Exploração;Apeadeiro;Linha da Beira Alta;Carregal do Sal;CARREGAL DO SAL;VISEU
Mourisca do Vouga;Com Exploração;Apeadeiro;Linha do Vouga;Trofa, Segadães e Lamas do Vouga;ÁGUEDA;AVEIRO
Bobadela Norte (Inserção C.Mer. Bodadela lado Alverca);Com Exploração;Mercadorias;Linha do Norte;Santa Iria de Azoia, São João da Talha e Bobadela;LOURES;LISBOA
Cacia ;Com Exploração;Estação;Linha do Norte;Cacia;AVEIRO;AVEIRO
Sacavém  ;Com Exploração;Apeadeiro;Linha do Norte;Sacavém e Prior Velho;LOURES;LISBOA
Reguengo - Vale da Pedra - Pontével;Com Exploração;Apeadeiro;Linha do Norte;Vale da Pedra;CARTAXO;SANTARÉM
Esqueiro;Com Exploração;Apeadeiro;Linha do Minho;Lanhelas;CAMINHA;VIANA DO CASTELO
Cabanões;Com Exploração;Apeadeiro;Linha do Vouga;Travassô e Óis da Ribeira;ÁGUEDA;AVEIRO
Azurva;Com Exploração;Apeadeiro;Linha do Vouga;Eixo e Eirol;AVEIRO;AVEIRO
Leixões;Com Exploração;Estação;Linha de Leixões;Matosinhos e Leça da Palmeira;MATOSINHOS;PORTO
Louro;Com Exploração;Apeadeiro;Linha do Minho;Louro;VILA NOVA DE FAMALICÃO;BRAGA
Eixo;Com Exploração;Estação;Linha do Vouga;Eixo e Eirol;AVEIRO;AVEIRO
Bustelo;Com Exploração;Apeadeiro;Linha do Douro;Bustelo;PENAFIEL;PORTO
Vale de Santarém;Com Exploração;Apeadeiro;Linha do Norte;Vale de Santarém;SANTARÉM;SANTARÉM
Ermesinde - B;Com Exploração;Apeadeiro;Concordância São Gemil;Ermesinde;VALONGO;PORTO
Silvalde-Vouga;Com Exploração;Apeadeiro;Linha do Vouga;Silvalde;ESPINHO;AVEIRO
Aregos;Com Exploração;Estação;Linha do Douro;Santa Cruz do Douro e São Tomé de Covelas;BAIÃO;PORTO
Espadaneira;Com Exploração;Apeadeiro;Linha do Norte;São Martinho do Bispo e Ribeira de Frades;COIMBRA;COIMBRA
Esgueira;Com Exploração;Apeadeiro;Linha do Vouga;Esgueira;AVEIRO;AVEIRO
Travagem;Com Exploração;Apeadeiro;Linha do Minho;Ermesinde;VALONGO;PORTO
Marinha Grande;Com Exploração;Estação;Linha do Oeste;Marinha Grande;MARINHA GRANDE;LEIRIA
Canelas;Com Exploração;Apeadeiro;Linha do Norte;Canelas e Fermelã;ESTARREJA;AVEIRO
Caminha;Com Exploração;Estação;Linha do Minho;Caminha (Matriz) e Vilarelho;CAMINHA;VIANA DO CASTELO
Litém;Com Exploração;Apeadeiro;Linha do Norte;Santiago e S. Simão de Litém e Albergaria dos Doze;POMBAL;LEIRIA
Sampaio-Oleiros;Com Exploração;Apeadeiro;Linha do Vouga;São Paio de Oleiros;SANTA MARIA DA FEIRA;AVEIRO
São João de Loure;Com Exploração;Apeadeiro;Linha do Vouga;Eixo e Eirol;AVEIRO;AVEIRO
Carreira;Com Exploração;Apeadeiro;Linha do Minho;Carreira e Fonte Coberta;BARCELOS;BRAGA
Santarém;Com Exploração;Estação;Linha do Norte;União das freguesias da cidade de Santarém;SANTARÉM;SANTARÉM
Fungalvaz;Com Exploração;Apeadeiro;Linha do Norte;Assentiz;TORRES NOVAS;SANTARÉM
Chão de Maçãs-Fátima;Com Exploração;Estação;Linha do Norte;Sabacheira;TOMAR;SANTARÉM
Mira Sintra - Meleças;Com Exploração;Estação;Linha do Oeste;Queluz e Belas;SINTRA;LISBOA
Barca da Amieira -Envendos;Com Exploração;Estação;Linha da Beira Baixa;Envendos;MAÇÃO;SANTARÉM
Runa;Com Exploração;Apeadeiro;Linha do Oeste;Dois Portos e Runa;TORRES VEDRAS;LISBOA
Ferrão;Com Exploração;Apeadeiro;Linha do Douro;Covas do Douro;SABROSA;VILA REAL
Vila Fernando;Com Exploração;Apeadeiro;Linha da Beira Alta;Vila Fernando;GUARDA;GUARDA
Mafra;Com Exploração;Estação;Linha do Oeste;Igreja Nova e Cheleiros;MAFRA;LISBOA
Castelo Mendo;Com Exploração;Apeadeiro;Linha da Beira Alta;Castelo Mendo, Ade, Monteperobolso e Mesquitela;ALMEIDA;GUARDA
Maçainhas;Com Exploração;Apeadeiro;Linha da Beira Baixa;Maçainhas;BELMONTE;CASTELO BRANCO
Malveira;Com Exploração;Estação;Linha do Oeste;Malveira e São Miguel de Alcainça;MAFRA;LISBOA
Rochoso;Com Exploração;Apeadeiro;Linha da Beira Alta;Rochoso e Monte Margarida;GUARDA;GUARDA
Sarnadas;Com Exploração;Estação;Linha da Beira Baixa;Sarnadas de Ródão;VILA VELHA DE RÓDÃO;CASTELO BRANCO
Covilhã;Com Exploração;Estação;Linha da Beira Baixa;Covilhã e Canhoso;COVILHÃ;CASTELO BRANCO
Alegria;Com Exploração;Apeadeiro;Linha do Douro;Linhares;CARRAZEDA DE ANSIÃES;BRAGANÇA
Livramento;Com Exploração;Apeadeiro;Linha do Algarve;Luz de Tavira e Santo Estêvão;TAVIRA;FARO
