Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Santana Cartaxo Resguardo;Com Exploração;Estação;Linha do Norte;Vila Chã de Ourique;CARTAXO;SANTARÉM
Braga;Com Exploração;Estação;Ramal de Braga;Braga (Maximinos, Sé e Cividade);BRAGA;BRAGA
Cuca;Com Exploração;Apeadeiro;Linha de Guimarães;Moreira de Cónegos;GUIMARÃES;BRAGA
Travassô;Com Exploração;Apeadeiro;Linha do Vouga;Travassô e Óis da Ribeira;ÁGUEDA;AVEIRO
Salreu;Com Exploração;Apeadeiro;Linha do Norte;Salreu;ESTARREJA;AVEIRO
São João de Ver;Com Exploração;Apeadeiro;Linha do Vouga;São João de Ver;SANTA MARIA DA FEIRA;AVEIRO
Pelariga;Com Exploração;Apeadeiro;Linha do Norte;Pelariga;POMBAL;LEIRIA
Meia Praia;Com Exploração;Apeadeiro;Linha do Algarve;São Gonçalo de Lagos;LAGOS;FARO
Castanheira do Ribatejo;Com Exploração;Estação;Linha do Norte;Castanheira do Ribatejo e Cachoeiras;VILA FRANCA DE XIRA;LISBOA
Granja;Com Exploração;Estação;Linha do Norte;São Félix da Marinha;VILA NOVA DE GAIA;PORTO
Ul;Com Exploração;Apeadeiro;Linha do Vouga;O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail;OLIVEIRA DE AZEMÉIS;AVEIRO
Monte de Paramos;Com Exploração;Apeadeiro;Linha do Vouga;Paramos;ESPINHO;AVEIRO
Bobadela ;Com Exploração;Apeadeiro;Linha do Norte;Santa Iria de Azoia, São João da Talha e Bobadela;LOURES;LISBOA
Livração;Com Exploração;Estação;Linha do Douro;Constance;MARCO DE CANAVESES;PORTO
Algés;Com Exploração;Estação;Linha de Cascais;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;OEIRAS;LISBOA
Francelos;Com Exploração;Apeadeiro;Linha do Norte;Gulpilhares e Valadares;VILA NOVA DE GAIA;PORTO
Olhão;Com Exploração;Estação;Linha do Algarve;Olhão;OLHÃO;FARO
Tavira;Com Exploração;Estação;Linha do Algarve;Tavira (Santa Maria e Santiago);TAVIRA;FARO
Oronhe;Com Exploração;Apeadeiro;Linha do Vouga;Recardães e Espinhel;ÁGUEDA;AVEIRO
Paços de Brandão;Com Exploração;Estação;Linha do Vouga;Paços de Brandão;SANTA MARIA DA FEIRA;AVEIRO
Pinheiro da Bemposta;Com Exploração;Estação;Linha do Vouga;Pinheiro da Bemposta, Travanca e Palmaz;OLIVEIRA DE AZEMÉIS;AVEIRO
Setúbal-Mar;Com Exploração;Estação;Linha do Sul;Setúbal (São Sebastião);SETÚBAL;SETÚBAL
Bobadela Sul (Inserção C. Mer. Bobadela lado Oriente);Com Exploração;Mercadorias;Linha do Norte;Santa Iria de Azoia, São João da Talha e Bobadela;LOURES;LISBOA
Casal do Álvaro;Com Exploração;Apeadeiro;Linha do Vouga;Recardães e Espinhel;ÁGUEDA;AVEIRO
Pereira;Com Exploração;Apeadeiro;Linha do Norte;Pereira;MONTEMOR-O-VELHO;COIMBRA
Albergaria-a-Velha;Com Exploração;Estação;Linha do Vouga;Albergaria-a-Velha e Valmaior;ALBERGARIA-A-VELHA;AVEIRO
Taveiro;Com Exploração;Estação;Linha do Norte;Taveiro, Ameal e Arzila;COIMBRA;COIMBRA
Santiago de Riba-Ul;Com Exploração;Apeadeiro;Linha do Vouga;O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail;OLIVEIRA DE AZEMÉIS;AVEIRO
Espinho;Com Exploração;Apeadeiro;Linha do Norte;Espinho;ESPINHO;AVEIRO
Paraimo;Com Exploração;Apeadeiro;Linha do Norte;Sangalhos;ANADIA;AVEIRO
Carapeços;Com Exploração;Apeadeiro;Linha do Minho;Carapeços;BARCELOS;BRAGA
Recezinhos;Com Exploração;Apeadeiro;Linha do Douro;Castelões;PENAFIEL;PORTO
Esmeriz;Com Exploração;Apeadeiro;Linha do Minho;Esmeriz e Cabeçudos;VILA NOVA DE FAMALICÃO;BRAGA
Trancoso;Com Exploração;Apeadeiro;Linha do Douro;Recarei;PAREDES;PORTO
Aveleda;Com Exploração;Apeadeiro;Ramal de Braga;Celeirós, Aveleda e Vimieiro;BRAGA;BRAGA
Vila Pouca do Campo;Com Exploração;Apeadeiro;Linha do Norte;Taveiro, Ameal e Arzila;COIMBRA;COIMBRA
Curia;Com Exploração;Apeadeiro;Linha do Norte;Tamengos, Aguim e Óis do Bairro;ANADIA;AVEIRO
Terronhas;Com Exploração;Apeadeiro;Linha do Douro;Recarei;PAREDES;PORTO
Senhora das Neves;Com Exploração;Apeadeiro;Linha do Minho;Vila de Punhe;VIANA DO CASTELO;VIANA DO CASTELO
Carregado Norte;Com Exploração;Estação;Linha do Norte;Carregado e Cadafais;ALENQUER;LISBOA
General Torres;Com Exploração;Estação;Linha do Norte;Santa Marinha e São Pedro da Afurada;VILA NOVA DE GAIA;PORTO
